X,Y,Z
0.02,-0.01,-0.01
0.03,-0.01,-0.01
0.03,-0.01,-0.01
0.03,-0.01,-0.01
0.03,-0.01,-0.01
0.04,-0.01,-0.01
0.04,-0.01,-0.01
0.04,-0.01,-0.01
0.04,-0.01,-0.01
0.05,-0.0,-0.02
0.05,-0.0,-0.02
0.05,-0.0,-0.02
0.05,-0.0,-0.02
0.09,-0.0,-0.02
0.09,-0.0,-0.02
0.09,-0.0,-0.02
0.09,-0.0,-0.02
0.18,-0.0,-0.03
0.18,-0.0,-0.03
0.18,-0.0,-0.03
0.18,-0.0,-0.03
0.31,-0.0,-0.04
0.31,-0.0,-0.04
0.31,-0.0,-0.04
0.31,-0.0,-0.04
0.46,0.0,-0.04
0.46,0.0,-0.04
0.46,0.0,-0.04
0.46,0.0,-0.04
0.63,0.01,-0.05
0.63,0.01,-0.05
0.63,0.01,-0.05
0.63,0.01,-0.05
0.81,0.01,-0.05
0.81,0.01,-0.05
0.81,0.01,-0.05
0.81,0.01,-0.05
0.98,0.02,-0.05
0.98,0.02,-0.05
0.98,0.02,-0.05
0.98,0.02,-0.05
1.16,0.03,-0.05
1.16,0.03,-0.05
1.16,0.03,-0.05
1.16,0.03,-0.05
1.33,0.03,-0.04
1.33,0.03,-0.04
1.33,0.03,-0.04
1.33,0.03,-0.04
1.48,0.06,-0.01
1.48,0.06,-0.01
1.48,0.06,-0.01
1.48,0.06,-0.01
1.61,0.13,0.05
1.61,0.13,0.05
1.61,0.13,0.05
1.61,0.13,0.05
1.71,0.23,0.13
1.71,0.23,0.13
1.71,0.23,0.13
1.71,0.23,0.13
1.77,0.36,0.21
1.77,0.36,0.21
1.77,0.36,0.21
1.77,0.36,0.21
1.85,0.49,0.26
1.85,0.49,0.26
1.85,0.49,0.26
1.85,0.49,0.26
1.93,0.6,0.29
1.93,0.6,0.29
1.93,0.6,0.29
1.93,0.6,0.29
2.05,0.66,0.29
2.05,0.66,0.29
2.05,0.66,0.29
2.05,0.66,0.29
2.19,0.69,0.29
2.19,0.69,0.29
2.19,0.69,0.29
2.19,0.69,0.29
2.33,0.68,0.28
2.33,0.68,0.28
2.33,0.68,0.28
2.33,0.68,0.28
2.48,0.64,0.28
2.48,0.64,0.28
2.48,0.64,0.28
2.48,0.64,0.28
2.61,0.57,0.27
2.61,0.57,0.27
2.61,0.57,0.27
2.61,0.57,0.27
2.73,0.48,0.27
