X,Y,Z
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,0.0
-0.0,0.0,-0.0
-0.0,0.0,-0.0
-0.0,0.0,-0.0
-0.0,0.0,-0.0
0.01,0.0,0.0
0.01,0.0,0.0
0.01,0.0,0.0
0.01,0.0,0.0
0.04,-0.01,-0.0
0.04,-0.01,-0.0
0.04,-0.01,-0.0
0.04,-0.01,-0.0
0.11,-0.02,-0.01
0.11,-0.02,-0.01
0.11,-0.02,-0.01
0.11,-0.02,-0.01
0.22,-0.04,-0.01
0.22,-0.04,-0.01
0.22,-0.04,-0.01
0.22,-0.04,-0.01
0.36,-0.05,-0.0
0.36,-0.05,-0.0
0.36,-0.05,-0.0
0.36,-0.05,-0.0
0.51,-0.07,0.0
0.51,-0.07,0.0
0.51,-0.07,0.0
0.51,-0.07,0.0
0.68,-0.08,0.01
0.68,-0.08,0.01
0.68,-0.08,0.01
0.68,-0.08,0.01
0.84,-0.09,0.01
0.84,-0.09,0.01
0.84,-0.09,0.01
0.84,-0.09,0.01
1.0,-0.11,0.01
1.0,-0.11,0.01
1.0,-0.11,0.01
1.0,-0.11,0.01
1.16,-0.13,0.01
1.16,-0.13,0.01
1.16,-0.13,0.01
1.16,-0.13,0.01
1.33,-0.15,0.01
1.33,-0.15,0.01
1.33,-0.15,0.01
1.33,-0.15,0.01
1.48,-0.18,0.05
1.48,-0.18,0.05
1.48,-0.18,0.05
1.48,-0.18,0.05
1.6,-0.24,0.11
1.6,-0.24,0.11
1.6,-0.24,0.11
1.6,-0.24,0.11
1.7,-0.32,0.2
1.7,-0.32,0.2
1.7,-0.32,0.2
1.7,-0.32,0.2
1.77,-0.44,0.28
1.77,-0.44,0.28
1.77,-0.44,0.28
1.77,-0.44,0.28
1.82,-0.56,0.34
1.82,-0.56,0.34
1.82,-0.56,0.34
1.82,-0.56,0.34
1.9,-0.67,0.39
1.9,-0.67,0.39
1.9,-0.67,0.39
1.9,-0.67,0.39
2.0,-0.73,0.42
2.0,-0.73,0.42
2.0,-0.73,0.42
2.0,-0.73,0.42
2.11,-0.75,0.44
2.11,-0.75,0.44
2.11,-0.75,0.44
2.11,-0.75,0.44
2.22,-0.74,0.45
2.22,-0.74,0.45
2.22,-0.74,0.45
2.22,-0.74,0.45
2.28,-0.72,0.4
2.28,-0.72,0.4
2.28,-0.72,0.4
2.28,-0.72,0.4
2.38,-0.66,0.38
2.38,-0.66,0.38
2.38,-0.66,0.38
2.38,-0.66,0.38
2.46,-0.58,0.36
2.46,-0.58,0.36
2.46,-0.58,0.36
2.46,-0.58,0.36
2.53,-0.48,0.34
2.53,-0.48,0.34
2.53,-0.48,0.34
2.53,-0.48,0.34
2.59,-0.37,0.32
2.59,-0.37,0.32
2.59,-0.37,0.32
2.59,-0.37,0.32
2.63,-0.27,0.31
2.63,-0.27,0.31
2.63,-0.27,0.31
2.63,-0.27,0.31
2.65,-0.17,0.31
2.65,-0.17,0.31
2.65,-0.17,0.31
2.65,-0.17,0.31
2.66,-0.09,0.3
2.66,-0.09,0.3
2.66,-0.09,0.3
2.66,-0.09,0.3
2.67,-0.03,0.29
