X,Y,Z
-0.0,0.01,0.02
-0.0,0.01,0.02
-0.01,0.01,0.03
-0.01,0.01,0.03
-0.01,0.01,0.03
-0.01,0.01,0.03
-0.01,0.02,0.03
-0.01,0.02,0.03
-0.01,0.02,0.03
-0.01,0.02,0.03
0.01,0.02,0.04
0.01,0.02,0.04
0.01,0.02,0.04
0.01,0.02,0.04
0.07,0.02,0.05
0.07,0.02,0.05
0.07,0.02,0.05
0.07,0.02,0.05
0.15,0.02,0.05
0.15,0.02,0.05
0.15,0.02,0.05
0.15,0.02,0.05
0.27,0.02,0.04
0.27,0.02,0.04
0.27,0.02,0.04
0.27,0.02,0.04
0.4,0.02,0.04
0.4,0.02,0.04
0.4,0.02,0.04
0.4,0.02,0.04
0.54,0.01,0.03
0.54,0.01,0.03
0.54,0.01,0.03
0.54,0.01,0.03
0.69,0.01,0.02
0.69,0.01,0.02
0.69,0.01,0.02
0.69,0.01,0.02
0.85,-0.01,0.01
0.85,-0.01,0.01
0.85,-0.01,0.01
0.85,-0.01,0.01
1.01,-0.02,0.0
1.01,-0.02,0.0
1.01,-0.02,0.0
1.01,-0.02,0.0
1.18,-0.03,-0.0
1.18,-0.03,-0.0
1.18,-0.03,-0.0
1.18,-0.03,-0.0
1.33,-0.06,-0.03
1.33,-0.06,-0.03
1.33,-0.06,-0.03
1.33,-0.06,-0.03
1.48,-0.1,-0.09
1.48,-0.1,-0.09
1.48,-0.1,-0.09
1.48,-0.1,-0.09
1.59,-0.18,-0.16
1.59,-0.18,-0.16
1.59,-0.18,-0.16
1.59,-0.18,-0.16
1.67,-0.28,-0.23
1.67,-0.28,-0.23
1.67,-0.28,-0.23
1.67,-0.28,-0.23
1.73,-0.38,-0.27
1.73,-0.38,-0.27
1.73,-0.38,-0.27
1.73,-0.38,-0.27
1.79,-0.46,-0.27
1.79,-0.46,-0.27
1.79,-0.46,-0.27
1.79,-0.46,-0.27
1.87,-0.51,-0.26
1.87,-0.51,-0.26
1.87,-0.51,-0.26
1.87,-0.51,-0.26
1.96,-0.55,-0.23
1.96,-0.55,-0.23
1.96,-0.55,-0.23
1.96,-0.55,-0.23
2.06,-0.55,-0.21
2.06,-0.55,-0.21
2.06,-0.55,-0.21
2.06,-0.55,-0.21
2.15,-0.55,-0.2
2.15,-0.55,-0.2
2.15,-0.55,-0.2
2.15,-0.55,-0.2
2.25,-0.53,-0.2
2.25,-0.53,-0.2
2.25,-0.53,-0.2
2.25,-0.53,-0.2
2.32,-0.5,-0.2
2.32,-0.5,-0.2
2.32,-0.5,-0.2
2.32,-0.5,-0.2
2.4,-0.45,-0.2
2.4,-0.45,-0.2
2.4,-0.45,-0.2
2.4,-0.45,-0.2
2.46,-0.4,-0.2
2.46,-0.4,-0.2
2.46,-0.4,-0.2
2.46,-0.4,-0.2
2.51,-0.34,-0.2
2.51,-0.34,-0.2
2.51,-0.34,-0.2
2.51,-0.34,-0.2
2.55,-0.29,-0.19
2.55,-0.29,-0.19
2.55,-0.29,-0.19
2.55,-0.29,-0.19
2.59,-0.24,-0.18
2.59,-0.24,-0.18
2.59,-0.24,-0.18
2.59,-0.24,-0.18
2.61,-0.18,-0.18
2.61,-0.18,-0.18
2.61,-0.18,-0.18
2.61,-0.18,-0.18
2.63,-0.14,-0.17
2.63,-0.14,-0.17
2.63,-0.14,-0.17
2.63,-0.14,-0.17
2.65,-0.1,-0.17
2.65,-0.1,-0.17
2.65,-0.1,-0.17
2.65,-0.1,-0.17
2.66,-0.07,-0.17
2.66,-0.07,-0.17
2.66,-0.07,-0.17
2.66,-0.07,-0.17
2.66,-0.04,-0.17
2.66,-0.04,-0.17
2.66,-0.04,-0.17
2.66,-0.04,-0.17
2.67,-0.01,-0.17
2.67,-0.01,-0.17
2.67,-0.01,-0.17
2.67,-0.01,-0.17
2.67,0.01,-0.17
2.67,0.01,-0.17
2.67,0.01,-0.17
2.67,0.01,-0.17
2.67,0.02,-0.17
2.67,0.02,-0.17
2.67,0.02,-0.17
2.67,0.02,-0.17
2.67,0.04,-0.17
2.67,0.04,-0.17
2.67,0.04,-0.17
2.67,0.04,-0.17
2.67,0.05,-0.16
2.67,0.05,-0.16
2.67,0.05,-0.16
2.67,0.05,-0.16
2.67,0.06,-0.15
2.67,0.06,-0.15
2.67,0.06,-0.15
2.67,0.06,-0.15
2.68,0.07,-0.15
2.68,0.07,-0.15
2.68,0.07,-0.15
2.68,0.07,-0.15
2.68,0.07,-0.15
2.68,0.07,-0.15
2.68,0.07,-0.15
2.68,0.07,-0.15
2.68,0.07,-0.14
2.68,0.07,-0.14
2.68,0.07,-0.14
2.68,0.07,-0.14
2.69,0.07,-0.13
2.69,0.07,-0.13
2.69,0.07,-0.13
2.69,0.07,-0.13
2.7,0.07,-0.13
2.7,0.07,-0.13
2.7,0.07,-0.13
2.7,0.07,-0.13
2.7,0.07,-0.12
2.7,0.07,-0.12
2.7,0.07,-0.12
2.7,0.07,-0.12
2.71,0.08,-0.12
2.71,0.08,-0.12
2.71,0.08,-0.12
