X,Y,Z
0.01,-0.0,0.0
0.01,-0.0,0.0
0.01,-0.0,0.0
0.01,0.0,-0.0
0.01,0.0,-0.0
0.01,0.0,-0.0
0.01,0.0,-0.0
0.01,0.01,-0.02
0.01,0.01,-0.02
0.01,0.01,-0.02
0.01,0.01,-0.02
0.04,0.01,-0.03
0.04,0.01,-0.03
0.04,0.01,-0.03
0.04,0.01,-0.03
0.11,0.01,-0.04
0.11,0.01,-0.04
0.11,0.01,-0.04
0.11,0.01,-0.04
0.22,0.0,-0.04
0.22,0.0,-0.04
0.22,0.0,-0.04
0.22,0.0,-0.04
0.34,0.0,-0.03
0.34,0.0,-0.03
0.34,0.0,-0.03
0.34,0.0,-0.03
0.48,0.0,-0.03
0.48,0.0,-0.03
0.48,0.0,-0.03
0.48,0.0,-0.03
0.62,-0.0,-0.02
0.62,-0.0,-0.02
0.62,-0.0,-0.02
0.62,-0.0,-0.02
0.77,-0.01,-0.02
0.77,-0.01,-0.02
0.77,-0.01,-0.02
0.77,-0.01,-0.02
0.93,-0.01,-0.02
0.93,-0.01,-0.02
0.93,-0.01,-0.02
0.93,-0.01,-0.02
1.09,-0.02,-0.02
1.09,-0.02,-0.02
1.09,-0.02,-0.02
1.09,-0.02,-0.02
1.25,-0.02,-0.02
1.25,-0.02,-0.02
1.25,-0.02,-0.02
1.25,-0.02,-0.02
1.41,-0.01,-0.05
1.41,-0.01,-0.05
1.41,-0.01,-0.05
1.41,-0.01,-0.05
1.55,0.02,-0.11
1.55,0.02,-0.11
1.55,0.02,-0.11
1.55,0.02,-0.11
1.66,0.08,-0.18
1.66,0.08,-0.18
1.66,0.08,-0.18
1.66,0.08,-0.18
1.75,0.17,-0.25
1.75,0.17,-0.25
1.75,0.17,-0.25
1.75,0.17,-0.25
1.82,0.27,-0.29
1.82,0.27,-0.29
1.82,0.27,-0.29
1.82,0.27,-0.29
1.89,0.36,-0.31
1.89,0.36,-0.31
1.89,0.36,-0.31
1.89,0.36,-0.31
1.96,0.42,-0.3
1.96,0.42,-0.3
1.96,0.42,-0.3
1.96,0.42,-0.3
2.04,0.46,-0.3
2.04,0.46,-0.3
2.04,0.46,-0.3
2.04,0.46,-0.3
2.11,0.48,-0.28
2.11,0.48,-0.28
2.11,0.48,-0.28
2.11,0.48,-0.28
2.18,0.49,-0.26
2.18,0.49,-0.26
2.18,0.49,-0.26
2.18,0.49,-0.26
2.26,0.49,-0.25
2.26,0.49,-0.25
2.26,0.49,-0.25
2.26,0.49,-0.25
2.33,0.47,-0.23
2.33,0.47,-0.23
2.33,0.47,-0.23
2.33,0.47,-0.23
2.38,0.45,-0.21
2.38,0.45,-0.21
2.38,0.45,-0.21
2.38,0.45,-0.21
2.43,0.42,-0.19
2.43,0.42,-0.19
2.43,0.42,-0.19
2.43,0.42,-0.19
2.46,0.38,-0.18
2.46,0.38,-0.18
2.46,0.38,-0.18
2.46,0.38,-0.18
2.48,0.34,-0.17
2.48,0.34,-0.17
2.48,0.34,-0.17
2.48,0.34,-0.17
2.49,0.3,-0.16
2.49,0.3,-0.16
2.49,0.3,-0.16
2.49,0.3,-0.16
2.5,0.26,-0.15
2.5,0.26,-0.15
2.5,0.26,-0.15
