X,Y,Z
-0.02,0.01,0.0
-0.02,0.01,0.0
-0.02,0.02,0.01
-0.02,0.02,0.01
-0.02,0.02,0.01
-0.02,0.02,0.01
-0.02,0.02,0.01
-0.02,0.02,0.01
-0.02,0.02,0.01
-0.02,0.02,0.01
-0.01,0.03,0.01
-0.01,0.03,0.01
-0.01,0.03,0.01
-0.01,0.03,0.01
0.05,0.03,0.0
0.05,0.03,0.0
0.05,0.03,0.0
0.05,0.03,0.0
0.13,0.03,0.0
0.13,0.03,0.0
0.13,0.03,0.0
0.13,0.03,0.0
0.24,0.02,0.0
0.24,0.02,0.0
0.24,0.02,0.0
0.24,0.02,0.0
0.37,0.02,0.0
0.37,0.02,0.0
0.37,0.02,0.0
0.37,0.02,0.0
0.51,0.01,0.01
0.51,0.01,0.01
0.51,0.01,0.01
0.51,0.01,0.01
0.65,0.01,0.01
0.65,0.01,0.01
0.65,0.01,0.01
0.65,0.01,0.01
0.8,0.01,0.02
0.8,0.01,0.02
0.8,0.01,0.02
0.8,0.01,0.02
0.95,0.0,0.02
0.95,0.0,0.02
0.95,0.0,0.02
0.95,0.0,0.02
1.1,-0.0,0.03
1.1,-0.0,0.03
1.1,-0.0,0.03
1.1,-0.0,0.03
1.26,-0.01,0.03
1.26,-0.01,0.03
1.26,-0.01,0.03
1.26,-0.01,0.03
1.42,-0.0,0.01
1.42,-0.0,0.01
1.42,-0.0,0.01
1.42,-0.0,0.01
1.55,0.02,-0.04
1.55,0.02,-0.04
1.55,0.02,-0.04
1.55,0.02,-0.04
1.68,0.07,-0.1
1.68,0.07,-0.1
1.68,0.07,-0.1
1.68,0.07,-0.1
1.78,0.15,-0.18
1.78,0.15,-0.18
1.78,0.15,-0.18
1.78,0.15,-0.18
1.85,0.25,-0.24
1.85,0.25,-0.24
1.85,0.25,-0.24
1.85,0.25,-0.24
1.91,0.36,-0.27
1.91,0.36,-0.27
1.91,0.36,-0.27
1.91,0.36,-0.27
1.96,0.44,-0.27
1.96,0.44,-0.27
1.96,0.44,-0.27
1.96,0.44,-0.27
2.02,0.49,-0.26
2.02,0.49,-0.26
2.02,0.49,-0.26
2.02,0.49,-0.26
2.1,0.52,-0.25
2.1,0.52,-0.25
2.1,0.52,-0.25
2.1,0.52,-0.25
2.16,0.54,-0.24
2.16,0.54,-0.24
2.16,0.54,-0.24
2.16,0.54,-0.24
2.23,0.52,-0.22
2.23,0.52,-0.22
2.23,0.52,-0.22
2.23,0.52,-0.22
2.29,0.5,-0.21
2.29,0.5,-0.21
2.29,0.5,-0.21
2.29,0.5,-0.21
2.35,0.46,-0.2
2.35,0.46,-0.2
2.35,0.46,-0.2
2.35,0.46,-0.2
2.39,0.42,-0.19
2.39,0.42,-0.19
2.39,0.42,-0.19
2.39,0.42,-0.19
2.43,0.37,-0.19
2.43,0.37,-0.19
2.43,0.37,-0.19
2.43,0.37,-0.19
2.47,0.32,-0.18
2.47,0.32,-0.18
2.47,0.32,-0.18
2.47,0.32,-0.18
2.49,0.26,-0.18
2.49,0.26,-0.18
2.49,0.26,-0.18
2.49,0.26,-0.18
2.51,0.22,-0.18
2.51,0.22,-0.18
2.51,0.22,-0.18
2.51,0.22,-0.18
2.53,0.18,-0.19
2.53,0.18,-0.19
2.53,0.18,-0.19
2.53,0.18,-0.19
