X,Y,Z
-0.0,0.0,0.04
-0.0,0.0,0.04
-0.0,0.0,0.04
-0.0,0.0,0.04
-0.0,0.0,0.04
-0.0,0.0,0.04
-0.0,0.0,0.04
-0.0,0.0,0.04
-0.0,0.0,0.04
0.02,0.0,0.04
0.02,0.0,0.04
0.02,0.0,0.04
0.02,0.0,0.04
0.08,-0.0,0.04
0.08,-0.0,0.04
0.08,-0.0,0.04
0.08,-0.0,0.04
0.18,-0.01,0.04
0.18,-0.01,0.04
0.18,-0.01,0.04
0.18,-0.01,0.04
0.18,-0.01,0.04
0.3,-0.01,0.04
0.3,-0.01,0.04
0.3,-0.01,0.04
0.3,-0.01,0.04
0.44,0.0,0.04
0.44,0.0,0.04
0.44,0.0,0.04
0.44,0.0,0.04
0.59,0.01,0.04
0.59,0.01,0.04
0.59,0.01,0.04
0.59,0.01,0.04
0.75,0.01,0.04
0.75,0.01,0.04
0.75,0.01,0.04
0.75,0.01,0.04
0.91,0.02,0.04
0.91,0.02,0.04
0.91,0.02,0.04
0.91,0.02,0.04
1.07,0.02,0.04
1.07,0.02,0.04
1.07,0.02,0.04
1.07,0.02,0.04
1.24,0.03,0.05
1.24,0.03,0.05
1.24,0.03,0.05
1.24,0.03,0.05
1.39,0.05,0.08
1.39,0.05,0.08
1.39,0.05,0.08
1.39,0.05,0.08
1.53,0.09,0.13
1.53,0.09,0.13
1.53,0.09,0.13
1.53,0.09,0.13
1.64,0.17,0.2
1.64,0.17,0.2
1.64,0.17,0.2
1.64,0.17,0.2
1.73,0.29,0.29
1.73,0.29,0.29
1.73,0.29,0.29
1.73,0.29,0.29
1.81,0.42,0.34
1.81,0.42,0.34
1.81,0.42,0.34
1.81,0.42,0.34
1.89,0.52,0.36
1.89,0.52,0.36
1.89,0.52,0.36
1.89,0.52,0.36
1.89,0.52,0.36
2.0,0.59,0.36
2.0,0.59,0.36
2.0,0.59,0.36
2.0,0.59,0.36
2.14,0.63,0.35
2.14,0.63,0.35
2.14,0.63,0.35
2.14,0.63,0.35
2.28,0.63,0.34
2.28,0.63,0.34
2.28,0.63,0.34
2.28,0.63,0.34
2.43,0.61,0.33
2.43,0.61,0.33
2.43,0.61,0.33
2.43,0.61,0.33
2.58,0.57,0.32
